intcal20_t	intcal20_dt	sample	z	sed	from_68_3	to_68_3	from_95_4	to_95_4	
1142.0	41.4	GE-PO1 	200	2.74	1113	1184	1054	1221	
1151.1	38.8	GE-PO2 	225	2.73	1124	1190	1069	1226	
1193.1	25.6	GE-PO3 	340	2.74	1173	1216	1141	1250	
1286.1	9.7	GE-PO4 	550	2.38	1275	1292	1270	1308	
1319.6	19.9	GE-PO5 	630	2.38	1295	1335	1283	1360	
1338.4	22.0	GE-PO6 	675	2.43	1313	1360	1299	1381	
1377.5	21.2	GE-PO-B1 	770	2.42	1352	1403	1330	1410	
1382.1	20.9	GE-PO-B2 	780	2.00	1359	1407	1335	1415	
1417.1	15.2	GE-PO-B3 	850	1.99	1408	1433	1381	1444	
1425.5	13.6	GE-PO-B4 	870	3.41	1415	1438	1392	1453	
-177.4	48.0	GE-PO-A1 	27	0.123	-210	-116	-331	-97	
106.5	47.8	GE-PO-A2 	60	0.159	51	143	26	215	
321.9	45.1	GE-PO-A3 	103	0.233	263	381	257	400	
321.9	45.1	GE-PO-A4 	103	0.233	263	381	257	400	
203.5	28.4	GE-PO-A5 	80	0.231	179	236	142	245	